PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33711090","Covalent and non-covalent binding free energy calculations for peptidomimetic inhibitors of SARS-CoV-2 main protease","Awoonor-Williams E , Abu-Saleh AAA .","Phys Chem Chem Phys. 2021 Mar 21;23(11):6746-6757. doi: 10.1039/d1cp00266j. Epub 2021 Mar 12.","Awoonor-Williams E","Phys Chem Chem Phys","2021","2021/03/12","","","10.1039/d1cp00266j"
"31958502","Standard Gibbs energy of metabolic reactions: V. Enolase reaction","Greinert T, Vogel K, Seifert AI, Siewert R, Andreeva IV, Verevkin SP, Maskow T, Sadowski G, Held C.","Biochim Biophys Acta Proteins Proteom. 2020 Apr;1868(4):140365. doi: 10.1016/j.bbapap.2020.140365. Epub 2020 Jan 18.","Greinert T","Biochim Biophys Acta Proteins Proteom","2020","2020/01/21","","","10.1016/j.bbapap.2020.140365"
"31508957","Uncovering the Role of Key Active-Site Side Chains in Catalysis: An Extended Brønsted Relationship for Substrate Deprotonation Catalyzed by Wild-Type and Variants of Triosephosphate Isomerase","Kulkarni YS, Amyes TL, Richard JP, Kamerlin SCL.","J Am Chem Soc. 2019 Oct 9;141(40):16139-16150. doi: 10.1021/jacs.9b08713. Epub 2019 Sep 25.","Kulkarni YS","J Am Chem Soc","2019","2019/09/12","PMC7032883","","10.1021/jacs.9b08713"
"28992703","Influence of Frozen Residues on the Exploration of the PES of Enzyme Reaction Mechanisms","Calixto AR, Ramos MJ, Fernandes PA.","J Chem Theory Comput. 2017 Nov 14;13(11):5486-5495. doi: 10.1021/acs.jctc.7b00768. Epub 2017 Oct 25.","Calixto AR","J Chem Theory Comput","2017","2017/10/11","","","10.1021/acs.jctc.7b00768"
"28905090","Thermodynamics of enzyme-catalyzed esterifications: II. Levulinic acid esterification with short-chain alcohols","Altuntepe E, Emel'yanenko VN, Forster-Rotgers M, Sadowski G, Verevkin SP, Held C.","Appl Microbiol Biotechnol. 2017 Oct;101(20):7509-7521. doi: 10.1007/s00253-017-8481-4. Epub 2017 Sep 14.","Altuntepe E","Appl Microbiol Biotechnol","2017","2017/09/15","","","10.1007/s00253-017-8481-4"
"28500386","Thermodynamics of enzyme-catalyzed esterifications: I. Succinic acid esterification with ethanol","Altuntepe E, Greinert T, Hartmann F, Reinhardt A, Sadowski G, Held C.","Appl Microbiol Biotechnol. 2017 Aug;101(15):5973-5984. doi: 10.1007/s00253-017-8287-4. Epub 2017 May 12.","Altuntepe E","Appl Microbiol Biotechnol","2017","2017/05/14","","","10.1007/s00253-017-8287-4"
"27653185","Standard Gibbs Energy of Metabolic Reactions: I. Hexokinase Reaction","Meurer F, Bobrownik M, Sadowski G, Held C.","Biochemistry. 2016 Oct 11;55(40):5665-5674. doi: 10.1021/acs.biochem.6b00471. Epub 2016 Sep 29.","Meurer F","Biochemistry","2016","2016/09/23","","","10.1021/acs.biochem.6b00471"
"27276551","Thermodynamics of Bioreactions","Held C, Sadowski G.","Annu Rev Chem Biomol Eng. 2016 Jun 7;7:395-414. doi: 10.1146/annurev-chembioeng-080615-034704.","Held C","Annu Rev Chem Biomol Eng","2016","2016/06/09","","","10.1146/annurev-chembioeng-080615-034704"
"25190480","A thermodynamic investigation of the glucose-6-phosphate isomerization","Hoffmann P, Held C, Maskow T, Sadowski G.","Biophys Chem. 2014 Dec;195:22-31. doi: 10.1016/j.bpc.2014.08.002. Epub 2014 Aug 21.","Hoffmann P","Biophys Chem","2014","2014/09/06","","","10.1016/j.bpc.2014.08.002"
"23056605","How metal substitution affects the enzymatic activity of catechol-o-methyltransferase","Sparta M, Alexandrova AN.","PLoS One. 2012;7(10):e47172. doi: 10.1371/journal.pone.0047172. Epub 2012 Oct 8.","Sparta M","PLoS One","2012","2012/10/12","PMC3466255","","10.1371/journal.pone.0047172"
"21523538","Brønsted-Evans-Polanyi relationships for C-C bond forming and C-C bond breaking reactions in thiamine-catalyzed decarboxylation of 2-keto acids using density functional theory","Assary RS, Broadbelt LJ, Curtiss LA.","J Mol Model. 2012 Jan;18(1):145-50. doi: 10.1007/s00894-011-1062-z. Epub 2011 Apr 27.","Assary RS","J Mol Model","2012","2011/04/28","","","10.1007/s00894-011-1062-z"
"20694172","A Non-Orthogonal Block-Localized Effective Hamiltonian Approach for Chemical and Enzymatic Reactions","Cembran A, Payaka A, Lin YL, Xie W, Mo Y, Song L, Gao J.","J Chem Theory Comput. 2010 Jul 13;6(7):2242-2251. doi: 10.1021/ct1001686.","Cembran A","J Chem Theory Comput","2010","2010/08/10","PMC2914346","NIHMS211399","10.1021/ct1001686"
"19839610","Sequence specific interaction between promoter DNA and Escherichia coli RNA polymerase: comparative thermodynamic analysis with one immobilized partner","Ganguly A, Rajdev P, Chatterji D.","J Phys Chem B. 2009 Nov 19;113(46):15399-408. doi: 10.1021/jp9071197.","Ganguly A","J Phys Chem B","2009","2009/10/21","","","10.1021/jp9071197"
"17497918","H and other transfers in enzymes and in solution: theory and computations, a unified view. 2. Applications to experiment and computations","Marcus RA.","J Phys Chem B. 2007 Jun 21;111(24):6643-54. doi: 10.1021/jp071589s. Epub 2007 May 12.","Marcus RA","J Phys Chem B","2007","2007/05/15","","","10.1021/jp071589s"
"17011697","Changes in binding of hydrogen ions in enzyme-catalyzed reactions","Alberty RA.","Biophys Chem. 2007 Feb;125(2-3):328-33. doi: 10.1016/j.bpc.2006.09.007. Epub 2006 Oct 2.","Alberty RA","Biophys Chem","2007","2006/10/03","PMC1993237","NIHMS17610","10.1016/j.bpc.2006.09.007"
