PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31657902","Ether Hydrolysis, Ether Thiolysis, and the Catalytic Power of Etherases in the Disassembly of Lignin","Lewis CA Jr, Wolfenden R.","Biochemistry. 2019 Dec 31;58(52):5381-5385. doi: 10.1021/acs.biochem.9b00698. Epub 2019 Nov 11.","Lewis CA Jr","Biochemistry","2019","2019/10/29","","","10.1021/acs.biochem.9b00698"
"30907590","Mechanistic Dichotomy in Proton-Coupled Electron-Transfer Reactions of Phenols with a Copper Superoxide Complex","Bailey WD, Dhar D, Cramblitt AC, Tolman WB.","J Am Chem Soc. 2019 Apr 3;141(13):5470-5480. doi: 10.1021/jacs.9b00466. Epub 2019 Mar 25.","Bailey WD","J Am Chem Soc","2019","2019/03/26","PMC6584633","NIHMS1032329","10.1021/jacs.9b00466"
"30654300","Electrophiles modulate glutathione reductase activity via alkylation and upregulation of glutathione biosynthesis","Jobbagy S, Vitturi DA, Salvatore SR, Turell L, Pires MF, Kansanen E, Batthyany C, Lancaster JR Jr, Freeman BA, Schopfer FJ.","Redox Biol. 2019 Feb;21:101050. doi: 10.1016/j.redox.2018.11.008. Epub 2018 Nov 22.","Jobbagy S","Redox Biol","2019","2019/01/18","PMC6348771","","10.1016/j.redox.2018.11.008"
"29632090","cAMP and Vfr Control Exolysin Expression and Cytotoxicity of Pseudomonas aeruginosa Taxonomic Outliers","Berry A, Han K, Trouillon J, Robert-Genthon M, Ragno M, Lory S, Attrée I, Elsen S.","J Bacteriol. 2018 May 24;200(12):e00135-18. doi: 10.1128/JB.00135-18. Print 2018 Jun 15.","Berry A","J Bacteriol","2018","2018/04/11","PMC5971474","","10.1128/JB.00135-18"
"27074675","Conformational Mobility in Cytochrome P450 3A4 Explored by Pressure-Perturbation EPR Spectroscopy","Davydov DR, Yang Z, Davydova N, Halpert JR, Hubbell WL.","Biophys J. 2016 Apr 12;110(7):1485-1498. doi: 10.1016/j.bpj.2016.02.026.","Davydov DR","Biophys J","2016","2016/04/14","PMC4833771","","10.1016/j.bpj.2016.02.026"
"26122210","AzaHx, a novel fluorescent, DNA minor groove and G·C recognition element: Synthesis and DNA binding properties of a p-anisyl-4-aza-benzimidazole-pyrrole-imidazole (azaHx-PI) polyamide","Satam V, Babu B, Patil P, Brien KA, Olson K, Savagian M, Lee M, Mepham A, Jobe LB, Bingham JP, Pett L, Wang S, Ferrara M, Bruce CD, Wilson WD, Lee M, Hartley JA, Kiakos K.","Bioorg Med Chem Lett. 2015 Sep 1;25(17):3681-5. doi: 10.1016/j.bmcl.2015.06.055. Epub 2015 Jun 19.","Satam V","Bioorg Med Chem Lett","2015","2015/07/01","","","10.1016/j.bmcl.2015.06.055"
"25963146","Human DNA Polymerase ν Catalyzes Correct and Incorrect DNA Synthesis with High Catalytic Efficiency","Gowda AS, Moldovan GL, Spratt TE.","J Biol Chem. 2015 Jun 26;290(26):16292-303. doi: 10.1074/jbc.M115.653287. Epub 2015 May 11.","Gowda AS","J Biol Chem","2015","2015/05/13","PMC4481228","","10.1074/jbc.M115.653287"
"25942001","Solvent-Dependent Pyranopterin Cyclization in Molybdenum Cofactor Model Complexes","Williams BR, Gisewhite D, Kalinsky A, Esmail A, Burgmayer SJ.","Inorg Chem. 2015 Sep 8;54(17):8214-22. doi: 10.1021/acs.inorgchem.5b00532. Epub 2015 May 5.","Williams BR","Inorg Chem","2015","2015/05/06","PMC4752123","NIHMS757480","10.1021/acs.inorgchem.5b00532"
"24854766","Tuning of the copper-thioether bond in tetradentate N₃S(thioether) ligands; O-O bond reductive cleavage via a [Cu(II)₂(μ-1,2-peroxo)]²⁺/[Cu(III)₂(μ-oxo)₂]²⁺ equilibrium","Kim S, Ginsbach JW, Billah AI, Siegler MA, Moore CD, Solomon EI, Karlin KD.","J Am Chem Soc. 2014 Jun 4;136(22):8063-71. doi: 10.1021/ja502974c. Epub 2014 May 22.","Kim S","J Am Chem Soc","2014","2014/05/24","PMC4063178","","10.1021/ja502974c"
"23289611","Charge-pairing interactions control the conformational setpoint and motions of the FMN domain in neuronal nitric oxide synthase","Haque MM, Bayachou M, Fadlalla MA, Durra D, Stuehr DJ.","Biochem J. 2013 Mar 15;450(3):607-17. doi: 10.1042/BJ20121488.","Haque MM","Biochem J","2013","2013/01/08","PMC3882132","NIHMS538094","10.1042/BJ20121488"
