reference_code,pmid,doi
75WYR/GRI,1250,10.1111/j.1432-1033.1975.tb02418.x
76BER/KLY,7996,
76HIL/ATT,10346,10.1099/00221287-96-1-185
76RUS/MUL,12947,10.1111/j.1432-1033.1976.tb11021.x
77SRA/FRE,18103,10.1016/0003-9861(77)90496-9
78CHR/MAT,30336,10.1016/0003-2697(78)90745-5
79LAW/VEE,36398,10.1016/S0021-9258(18)50400-2
77ANT/GIN,36553,
75GER/WES,168198,10.1016/S0021-9258(19)41278-7
75SHI/BEA,169260,10.1016/S0021-9258(19)41016-8
75SCH/GRE,170102,10.1111/j.1432-1033.1975.tb02227.x
76GRE/BRI,186026,10.1042/bj1570591
76RAO/BUT,186451,10.1016/S0021-9258(17)32930-7
76GUY,186456,10.1016/S0021-9258(17)32957-5
77APP/NAI,201249,10.1042/bj1670087
78RAO/COH,203583,10.1016/S0021-9258(17)38123-1
78LYN/GUY,204656,10.1016/S0021-9258(17)40856-8
79VIC/GRE,218950,10.1016/S0021-9258(17)30121-7
79LAB/DEB,231463,10.1016/S0300-9084(80)80264-1
75JEN/NYG,235429,10.1111/j.1432-1033.1975.tb03925.x
75GOR/ESF,237482,10.1016/0003-9861(75)90274-x
75PIE/GUY,237900,10.1016/S0021-9258(19)41323-9
75GOL,240453,10.1016/0301-4622(75)80011-1
75IZU/REE,240851,10.1016/S0021-9258(19)40819-3
75BOH/SCH,241184,
75SUN,241749,10.1016/S0021-9258(19)40710-2
79BYE/SHE,375973,10.1021/bi00579a006
79RAO/KAY,429312,10.1016/S0021-9258(17)30127-8
79COR/LEA,447732,10.1016/S0021-9258(18)50399-9
79KIM/PET,475389,10.1016/0003-9861(79)90327-8
79SCH/HIN,500017,10.1515/bchm2.1979.360.2.1497
79PIR/LIL,527937,10.1515/bchm2.1979.360.2.1693
78SUB,623877,10.1016/0301-4622(78)85013-3
78MEE/AKE,639798,10.1111/j.1432-1033.1978.tb12183.x
75MAN/LAN,808172,10.1016/0003-9861(75)90324-0
77SCH/TAT,836793,10.1021/bi00622a011
77SCH/CLE,836801,10.1021/bi00623a001
77TRA/JON,925000,10.1016/S0021-9258(19)75229-6
76WEI/KIR,949971,10.1111/j.1432-1033.1976.tb10350.x
75BRA/JAR,1117007,10.1016/S0021-9258(19)41718-3
75JES,1133398,10.1021/ja00840a006
75SCH/RIF,1191642,10.1021/bi00695a020
76TRI/PAR,1259718,10.1042/bj1530089
76SPR/LIM,1276393,10.1002/bit.260180504
92KAH/SCH,1527498,10.1099/00221287-138-6-1277 
92ELL/SRI,1540130,10.1042/bj2820155
92TEA/DOB,1629208,10.1016/S0021-9258(19)49682-8
92WAN/CHE,1633258,10.1016/0301-4622(92)80041-3
91KNI/SEM,1645186,10.1021/bi00234a019
91LIU/FRO,1646815,10.1016/S0021-9258(18)99024-1
91MOR/FRE,1653014,10.1021/bi00098a030
91SEM/CLE,1827991,10.1021/bi00234a020
91TEW/GOL,1873472,10.1016/0301-4622(91)85029-p
91GOL/BEL,1873473,10.1016/0301-4622(91)85030-t
91SRI/NAM,1873475,10.1016/0301-4622(91)85032-l
90LUN/APR,2140258,10.1042/bj2670739
90SAN/SIN,2341161,
89TEW/GOL,2492994,10.1016/S0021-9258(19)84947-5
89GOL/TEW,2498341,10.1016/S0021-9258(18)81743-4
89ELL,2543728,10.1242/jeb.143.1.177
89ROM/DEM,2722769,10.1016/S0021-9258(18)83123-4
89GOL/TEW2,2722882,10.1016/S0021-9258(18)81744-6
89SCH/GIF,2789134,10.1111/j.1432-1033.1989.tb14984.x
88TEW/GOL,2839246,10.1016/0301-4622(88)85045-2
88BEL/BAE,2848810,10.1016/S0021-9258(18)37367-8
87BUC/MIL,2883006,10.1111/j.1432-1033.1987.tb11164.x
87RAO/HAR,2958459,10.1016/S0021-9258(18)47906-9
85LEE/OSU,2997186,10.1016/S0021-9258(17)38662-3
86CAS/VEE2,3079759,10.1016/S0021-9258(17)36148-3
86HUB/HUR,3083779,10.1016/0003-9861(86)90487-x
87MOS/FRE,3117791,10.1016/S0021-9258(18)48103-3
85FAG/DEW,3158649,10.1016/S0021-9258(18)88949-9
88MAC/FEW,3291854,10.1042/bj2500743
87KUC/MIZ,3327522,10.1021/bi00399a057
88TEW/STE,3346215,10.1016/S0021-9258(18)68976-8
88TEW/STE2,3346216,10.1016/S0021-9258(18)68977-X
88LIM/RAI,3365378,10.1021/bi00404a013
88BED/HAD,3384815,10.1016/S0021-9258(19)81556-9
87BED/TES,3429208,
86GAJ/STE,3528161,10.1016/S0021-9258(18)67153-4
86DEW/EMI,3741845,10.1021/bi00362a022
86ROH/ETT,3769932,10.1111/j.1432-1033.1986.tb09975.x
86NAK/KIM,3792308,10.1111/j.1432-1033.1986.tb10476.x
86CAS/VEE,3826613,10.1016/0003-2697(86)90338-6
85TEW/GOL2,3931718,10.1016/0301-4622(85)80043-0
85WIE/HIN,3933423,10.1016/0003-9861(85)90228-0
