_date,total_views,unique_views
2022-03-11,5,2
2022-03-13,5,1
2022-03-16,64,2
2022-03-25,1,1
2022-03-30,4,1
2022-04-06,1,1
2022-04-12,4,1
2022-04-18,9,1
2022-04-26,5,1
2022-04-30,2,1
2022-05-02,1,1
2022-05-09,1,1
2022-08-12,33,1
2022-09-28,4,1
2023-01-27,1,1
2023-02-08,1,1
2023-09-25,13,1
2023-10-20,14,1
2023-11-01,7,1
2023-11-06,23,1
2023-11-24,10,1
2023-12-11,18,2
2023-12-13,6,1
2023-12-15,4,1
2023-12-19,4,1
2024-01-03,1,1
2024-01-16,15,1
2024-01-21,1,1
2024-02-23,1,1
2024-03-05,2,1
2024-05-14,7,1
2024-11-07,1,1
2024-12-19,9,1
2024-12-20,8,1
2024-12-26,1,1
2025-01-02,12,1
2025-01-09,5,1
2025-01-13,1,1
2025-01-14,18,1
2025-01-15,1,1
2025-01-16,11,1
2025-01-17,1,1
2025-01-18,2,1
2025-01-19,2,1
2025-01-20,1,1
2025-01-21,1,1
2025-02-05,3,1
2025-02-18,1,1
2025-04-12,1,1
2025-05-14,1,1
2025-06-18,4,1
2025-07-02,1,1
2025-07-16,19,6
2025-09-22,1,1
2025-09-26,1,1
2025-10-01,4,4
2025-10-07,16,16
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,2,2
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,3,3
2026-01-22,3,3
2026-01-23,0,0
2026-01-24,2,2
